score,ranking,score_num,movie_name
8.4,193,196446,变脸
8.8,194,78390,未麻的部屋
9.2,195,44001,东京物语
8.6,196,206409,爆裂鼓手
8.5,197,127933,终结者2：审判日
8.5,198,237154,被解救的姜戈
8.6,199,98970,叫我第一名
8.7,200,91170,牯岭街少年杀人事件
8.5,201,138139,E.T. 外星人
8.7,202,92248,末路狂花
9.0,203,48090,忠犬八公物语
8.8,204,70444,哪吒闹海
8.4,205,169582,发条橙
8.3,206,210314,穆赫兰道
8.3,207,373864,源代码
8.5,208,138428,黑客帝国3：矩阵革命
8.4,209,194908,青蛇
8.6,210,104015,非常嫌疑犯
8.4,211,167550,美国丽人
8.4,212,164066,新龙门客栈
9.1,213,45026,黄金三镖客
8.6,214,87404,上帝也疯狂
8.4,215,202732,无耻混蛋
9.2,216,37156,城市之光
9.0,217,42852,爱·回家
8.9,218,79378,勇士
8.2,219,415290,初恋这件小事
8.3,220,188415,曾经
8.2,221,252835,蓝色大门
8.5,222,116983,麦兜故事
8.4,223,131697,暖暖内含光
8.6,224,169034,无敌破坏王
8.6,225,89083,蝴蝶
8.9,226,51917,与狼共舞
8.7,227,76036,大卫·戈尔的一生
8.6,228,97735,巴黎淘气帮
8.5,229,111859,遗愿清单
8.3,230,307793,国王的演讲
8.5,231,115132,血钻
8.3,232,181540,夜访吸血鬼
8.5,233,224095,模仿游戏
8.5,234,105391,偷拐抢骗
8.4,235,118606,荒岛余生
8.3,236,206092,爱在暹罗
8.7,237,70724,中央车站
8.1,238,296888,两小无猜
8.7,239,72667,千钧一发
8.5,240,128215,月球
8.2,241,275773,疯狂的石头
8.6,242,86528,枪火
8.4,243,130170,罪恶之城
8.8,244,72450,寿司之神
8.7,245,100012,爱在午夜降临前
9.0,246,48526,我爱你
8.5,247,87380,廊桥遗梦
8.4,248,118375,角斗士
8.2,249,209849,假如爱有天意
8.5,250,97512,黑鹰坠落
